Number,score_0,score_1,score_2,score_3,score_4,similar_0,similar_1,similar_2,similar_3,similar_4
17028,0.961792815875535,0.961822312252508,0.961848940285585,0.963781236230596,0.964268223495828,17171,17026,16845,16913,16879
17027,0.817103769355284,0.820074583137712,0.823945420976196,0.82516946812209,0.830101293785094,359,3730,11503,3694,9309
17026,0.983123455881538,0.983218365602137,0.983806966328493,0.984686706015038,0.985237713816494,16844,16845,16882,16849,16850
17025,0.884876705194486,0.884876705194486,0.884876705194486,0.884876705194486,0.889999615407723,5002,788,779,297,16901
17024,0.945451787423386,0.945870399079811,0.946777986885762,0.947941280134062,0.951826832624435,16844,16935,16849,16850,17139
17023,0.839818910508792,0.844181853639764,0.84491673476656,0.859575898590669,0.861099105432628,7818,5195,11212,9478,5606
17022,0.918662567113685,0.92242307796943,0.934958957283058,0.934958957283058,0.935667243948206,17150,2431,17043,17042,17099
17021,0.995062820790447,0.995359567872962,0.995359567872962,0.995359567872962,0.995472417174842,16908,17083,17081,16910,16904
17020,0.917765951848069,0.919703458916561,0.921844742140795,0.923791742511346,0.928657135963851,16905,17171,17030,17163,17094
17019,0.919917945430346,0.922926405385982,0.924651421729034,0.926372213570019,0.929142790017895,16006,17038,7526,17163,16871
17018,0.958227933403651,0.95929090093424,0.964862057031511,0.966394108513597,0.968029300055158,17145,17133,17119,17122,17017
17017,0.968029300055158,0.970423803309577,0.971483260766647,0.97804127240823,0.995979864780494,17018,17119,17134,17145,17122
17016,0.822472789901259,0.824367112142325,0.825622240199784,0.833685246142522,1.0,2528,3839,17146,7198,17055
17015,0.926341858262279,0.937740382914981,0.9454281236135,0.954516795500417,0.954516795500417,17145,17134,17119,17056,17054
17014,0.941571499572967,0.941910784043444,0.944234162896239,0.950400390809555,0.952288770053922,16877,16913,16710,16935,17008
17012,0.996432403631127,0.997051839226375,0.997066139607653,0.997173707530139,0.997901900391213,17076,17161,17082,17064,17151
17011,0.911770182080267,0.911810159938794,0.912898104414793,0.91926199556512,0.919814059252366,16855,16205,2985,1940,14565
17010,0.866389002231229,0.869421316758549,0.869693899397636,0.870067737414572,0.873294060391082,4942,7721,2868,13664,1403
17009,0.984796322128839,0.985222257841016,0.985561517853826,0.985987125850311,0.987751143028388,16911,17064,17161,17082,17080
17008,0.957706355506984,0.966687041630363,0.966745766101524,0.977247490524375,0.979646681242076,16922,16934,16893,17084,17006
17007,0.913989863657944,0.920868975113669,0.921084036110331,0.922725130400539,0.936486315360265,17108,16502,5188,12465,17163
17006,0.972333894806783,0.972758072302237,0.979646681242076,0.982757044690372,0.98984672513048,16922,17082,17008,16934,17084
17005,0.89769234700496,0.901622819873138,0.902676211430095,0.909481626840091,0.973309777507904,16710,15084,11939,16370,17004
17004,0.923143530424757,0.924628924119328,0.926397157603648,0.930515763530017,0.973309777507904,17014,14959,7250,16710,17005
17003,0.902793344133781,0.903095422949575,0.904021103088237,0.904793668381655,0.911479176267233,12609,16107,17045,6252,10965
16984,0.936650563664092,0.936757111972824,0.93799885934732,0.938806250826448,0.942757609089164,924,3753,2184,4888,15268
16983,0.913985208711604,0.917543419615961,0.917568946553837,0.923723963619688,0.937659392230003,9412,3406,16464,10406,9301
16946,0.933387367966794,0.937002154737313,0.939052317128984,0.947550252050083,0.95005433177321,16678,13241,7228,16612,16176
16945,0.881763672260392,0.88340550520019,0.884631472607396,0.888489645009744,0.89330027090956,2061,11491,14536,7080,10012
16944,0.808322868840543,0.815345659998532,0.815374688264349,0.823389162077938,0.832793298428785,3055,2910,15203,2730,4264
16943,0.896042201804043,0.897758178164861,0.897985610296364,0.90318271059956,0.908347049065406,2485,7650,2371,6179,4864
16942,0.856029130901321,0.856544988717708,0.857123205064374,0.85961954491799,0.860983913418127,4655,3513,5335,4567,14710
16941,0.922466015007004,0.925671411834627,0.928880164664514,0.932370366258652,0.942522467790442,15900,6335,8828,17163,16543
16940,0.880288799920812,0.880729208160922,0.881957907898559,0.883952301597759,0.891813511176684,13972,12923,7351,9394,13910
16939,0.846463925554436,0.847115165056186,0.850746621399943,0.856345551840445,0.856935530170893,17141,11966,140,324,10785
16938,0.998801602121,0.998801602121,0.998884002768964,0.999012620838604,0.999291662022861,17081,16910,16911,16908,16906
16937,0.840258565703245,0.840544568062189,0.850524066738525,0.852545046442074,0.853514568681874,13441,16381,16487,2449,13645
16936,0.796231343561368,0.797649841796153,0.818315172965749,0.835761252484242,0.841714607069396,11691,5459,16487,16937,16488
16935,0.987343565194149,0.987438209207913,0.988620877340008,0.98942589040172,0.989469363890794,16844,16845,16849,17040,16850
16934,0.986908698318169,0.987202956376448,0.987348487864066,0.987951326533621,0.988130990907796,17044,17064,17068,17012,17082
16933,0.863397081012326,0.866298222504645,0.871060240205654,0.871073586300037,0.878077827488837,11939,17005,17004,10359,16372
16931,0.938184218234989,0.939220714696648,0.940401964128588,0.940681655391431,0.982373190230765,16749,16433,16742,16386,16930
16930,0.934414931486981,0.935961230277908,0.936038528882126,0.936316442277458,0.982373190230765,16433,12975,12546,16386,16931
16929,0.875223648191975,0.876694794629058,0.878031064513193,0.880599661872806,0.884058642453199,16571,14263,17163,16181,16765
16928,0.946620135636336,0.947002759030025,0.950064128821412,0.966101987369947,0.967542137054115,17069,16002,16920,16807,16855
16927,0.804027370442706,0.806900471310648,0.808152664653635,0.814349451966691,0.825734710935733,8035,3136,11973,9584,7572
16926,0.699267614452931,0.705725577519997,0.706772378914036,0.717629758661471,0.767554601145444,9567,2739,5950,2011,15027
16925,0.824316851993584,0.827716214021162,0.831105719960119,0.832960835169339,0.838492798051799,9941,5952,8310,11603,7417
16924,0.834339640540372,0.835553301627195,0.845097195547406,0.847098430309664,0.850014042211169,15363,4880,2563,14941,978
16923,0.882297664971224,0.884378043614752,0.886490552756641,0.893127645773476,0.895840658627414,13217,3302,2709,16355,2173
16922,0.987357858347598,0.987640344963076,0.988192998710784,0.988235446976316,0.988941467992302,16906,16911,16938,17076,17082
16921,0.864219623665945,0.86761054504636,0.86778997273561,0.872735364207888,0.878358761586715,14355,1707,15329,15230,4201
16920,0.993440736341085,0.995517095861416,0.995517095861416,0.995517095861416,0.995517095861416,17069,17156,17155,16891,16890
16919,0.897801290899393,0.89863775183209,0.903592817922924,0.905155007456768,0.933884722836109,16418,2132,12229,2993,12223
16918,0.86734682196711,0.872735875722979,0.876596718580988,0.880745607437577,0.881918436825269,12029,10304,13481,4795,6827
16917,0.940172125571986,0.941398739651862,0.9429546375791,0.943250970813113,0.946471125241062,11022,16311,16068,16149,9008
16916,0.929962271251791,0.933402793526499,0.935164316450239,0.93542744152461,0.952143161221022,15287,16917,16020,15124,9008
16915,0.948909972677628,0.94962072859329,0.950166418564261,0.950340417785681,0.962636973551898,17062,17028,16879,17026,17139
16914,0.812146645469693,0.816136463862973,0.821460936274297,0.821858706279487,0.828693942012166,1526,2046,7643,16054,1352
16913,0.977881031704367,0.980415479799106,0.981771275538643,0.982132925405191,0.982758368239563,16851,16849,16850,16845,16844
16912,0.921054441331324,0.923295717643446,0.924495827567826,0.924535987518523,0.928862847290837,11381,13380,16171,16241,8478
16911,0.999236189358059,0.999287691278049,0.999287691278049,0.999287691278049,0.999360715937358,16904,17083,17081,16910,16906
16910,0.999287691278049,0.999365369127994,0.999698733789266,1.0,1.0,16911,16906,16908,17083,17081
16909,0.898247574112293,0.89848032904104,0.8990942747945,0.899275387440735,0.906861499451163,17172,17099,2858,17150,5158
16908,0.99937509004535,0.999477725170908,0.999698733789266,0.999698733789266,0.999698733789266,17149,16906,17083,17081,16910
16906,0.999365369127994,0.999365369127994,0.999365369127994,0.999477725170908,0.999512690166673,17083,17081,16910,16908,16904
16905,0.933610645629215,0.938314741608754,0.943839272520951,0.947581930037836,0.954785501835891,16860,4593,17028,16871,17163
16904,0.999133724168352,0.999133724168352,0.999133724168352,0.999236189358059,0.999512690166673,17083,17081,16910,16911,16906
16903,0.921395377435142,0.923222202549446,0.923493513149088,0.926733269442584,0.93204599592062,13451,14939,8243,5345,16545
16902,0.876336422575129,0.878162047985825,0.882437679017961,0.883925156524208,0.888001673393002,5757,96,13394,473,4359
16901,0.890480217680093,0.890480217680093,0.890480217680093,0.890480217680093,0.942440310998606,5002,788,779,297,15408
16900,0.942388562337824,0.94277131026674,0.949951852062073,0.950039856127929,0.956524642052358,16845,16849,17139,16871,17140
16899,0.872005827062668,0.873115735189675,0.876455136547704,0.877360947135199,0.881078762810713,13290,10128,10837,11008,5248
16898,0.798389051885218,0.807674093779401,0.815270469240903,0.81621091940563,0.823336512949656,3545,10097,12383,12896,5065
16897,0.873271156795386,0.876175325059939,0.88021327546244,0.881707225979689,0.886895983197242,10505,15139,10657,6745,6378
16896,0.999265023137664,0.999265023137664,0.999265023137664,0.99937509004535,1.0,17083,17081,16910,16908,17149
16895,0.918315096623275,0.919899246346157,0.922131430036775,0.922169533407031,0.932883060323791,17140,17068,16928,16807,16855
16894,0.780948800021806,0.804124475377305,0.818154341065994,0.819945623128411,0.821630841918064,6014,4798,12244,9642,8784
16893,0.956338040740182,0.956373247582123,0.961616960835215,0.964932345513476,0.966745766101524,17084,16843,17006,16842,17008
16892,0.857411281902993,0.860238012048681,0.862827585704327,0.867075685411918,0.872939841980548,12405,16664,1270,15252,13011
16891,0.995242752976748,0.995517095861416,1.0,1.0,1.0,17069,16920,17156,17155,16890
16890,0.995242752976748,0.995517095861416,1.0,1.0,1.0,17069,16920,17156,17155,16891
16889,0.991542037523097,0.99200948654177,0.997138905458835,0.998211428771442,0.99836961136932,16875,16876,16873,16885,16878
16888,0.827476737669307,0.837281445604717,0.844653277546865,0.846893153346891,0.855801022641787,2350,1512,15217,326,9674
16887,0.852867486134929,0.855837056369936,0.856525054127352,0.856987626720427,0.858546628405634,11995,11201,13205,13991,1614
16886,0.893279991672851,0.897850580887021,0.900710427613376,0.91467525934783,0.922881767375477,15040,12228,3140,10380,17052
16885,0.990572716711814,0.992665090302379,0.996895468883238,0.998211428771442,0.998891881016791,16875,16876,16873,16889,16878
16884,0.932860833899925,0.933232807402532,0.934091407952562,0.934185094129651,0.935154340405078,4931,14966,16883,10091,12674
16883,0.925170612033656,0.925236795634248,0.92568866294299,0.925841386711537,0.934091407952562,10038,10740,14133,16266,16884
16881,0.887046201592091,0.889663774860705,0.893532639064916,0.894124968016602,0.905663896300108,16257,11091,13321,14708,15772
16880,0.980851397330753,0.98202742773052,0.985068908615918,0.985975070308457,0.988276345859838,16851,16935,17030,16882,17040
16879,0.960856677181496,0.963553107769469,0.963885988545646,0.964268223495828,0.964278236966843,17062,16846,16848,17028,16882
16878,0.989541506935301,0.991211804435218,0.997157265195645,0.99836961136932,0.998891881016791,16875,16876,16873,16889,16885
