Number,W2V_fasttext_0,W2V_fasttext_score0,W2V_fasttext_1,W2V_fasttext_score1,W2V_fasttext_2,W2V_fasttext_score2,W2V_fasttext_3,W2V_fasttext_score3,W2V_fasttext_4,W2V_fasttext_score4
13045,5389,0.9983646531777626,1856,0.9984158954552439,12531,0.9987657039814176,1753,0.9988955631312547,12517,0.9989225201333868
13044,5310,0.43173910956355455,14664,0.45039601045205807,14663,0.45039601045205807,13114,0.45936440199382716,806,0.4640915432134313
13043,5601,0.6425355847017011,9789,0.6426195456287466,1827,0.6433160626568394,14910,0.6459670303806517,12761,0.9999751121979686
13042,7185,0.9987502096133133,14898,0.9988385645973636,5261,0.9988664908484443,13551,0.9988973151396159,14475,0.9989286461484368
13041,11527,0.7390256281887699,603,0.771758672426537,990,0.9996223041094094,3852,0.9999531552357418,14894,0.9999592221998079
13040,13074,0.9996656138543178,12979,0.9997874374253444,12253,0.9998434816136043,13513,0.9999224885120559,9566,0.9999469127365493
13039,13127,0.9999989748431085,15756,0.9999993382030482,14578,0.9999996627693181,14879,0.9999999279054889,14747,0.999999999999817
13038,1082,0.5391813748318383,16461,0.5400764705344598,3577,0.5402691062802263,15815,0.5439096530921586,8095,0.5537071754702809
13037,15431,0.999587647461315,14864,0.9995935508913402,4006,0.9996026234028857,1213,0.9996151245939443,10120,0.9996552327993282
13036,8003,0.7577455532184099,8402,0.7578620384279826,3244,0.7582969314188036,8023,0.7657248319620926,293,0.7678604481734771
13035,6101,0.9999630373053395,3411,0.9999727684939186,6360,0.9999784580948606,2782,0.9999800504807687,8031,0.999985621607584
13034,16696,0.9982801129860929,11760,0.9983192228230933,15299,0.9984015247729024,942,0.9985522966648939,1957,0.9986280262671872
13033,3235,0.9992342301810881,7029,0.999391312124222,11502,0.9993918378328587,13861,0.9998947598497959,2723,0.9999109169064332
13032,10423,0.9999902227848588,3223,0.9999913256674565,10095,0.9999932973119932,6889,0.999995294065094,7299,0.9999972350585855
13031,8378,0.6922586134570246,1321,0.6932598232347394,2231,0.6956049247674767,15195,0.9995049952644837,14636,0.9999331248349672
13030,13927,1.0,4730,1.0,1027,1.0,769,1.0,374,1.0
13029,3748,0.9989955564583267,13112,0.9989989997432424,9468,0.999073668255668,11210,0.9991475000176847,9756,0.9992546392690657
13028,13739,0.5720868226803675,13992,0.913586031383064,229,0.9532728894938851,3354,0.9983941350814287,4835,0.9994769847611484
13027,13100,0.9993530922073914,11045,0.9993655115845028,11262,0.9993664828699445,7818,0.9993713374257236,11039,0.9993741290316507
13026,13526,0.999928709319842,9865,0.9999300968124909,1411,0.9999305492577355,14562,0.9999312675351123,16368,0.9999989651873379
13025,9630,0.999923323667638,12421,0.9999238244972634,4853,0.9999242274731377,13578,0.9999340330503028,94,0.9999741303537802
13024,14111,0.9872409060271693,16514,0.9872770347512135,9535,0.9872797025123551,2492,0.9875173159228415,1968,0.9879420014723369
13023,774,0.8579835570882353,931,0.8599635874419206,8794,0.8626927338011781,8842,0.8669865622547981,2260,0.8700323772682835
13022,4026,0.9999838302329328,15091,0.999984789266173,1819,0.9999875083050781,14074,0.9999879523166482,14487,0.999988725529712
13021,1739,0.7495828373661949,3208,0.7497527197722684,7367,0.7506766932934086,6863,0.9999592939159511,11654,0.9999620524033341
13020,10296,0.9999999999999889,13661,1.0,13072,1.0,12824,1.0,12414,1.0
13019,13096,1.0,13083,1.0,13017,1.0,13016,1.0,11718,1.0
13018,15825,0.8753740109231225,13193,0.8757474789482043,12816,0.8758467478002119,10041,0.8760452571098402,3279,0.9994480953040276
13017,13096,1.0,13083,1.0,13019,1.0,13016,1.0,11718,1.0
13016,13096,1.0,13083,1.0,13019,1.0,13017,1.0,11718,1.0
13015,12452,0.9997944913194456,13331,0.9997979184477549,5315,0.9997983682360272,5195,0.9998012719719043,7961,0.9998037955095784
13014,218,0.9982565727835504,2607,0.998336353307599,8746,0.9983938276276947,4993,0.9985947286178993,3652,0.9988106131697546
13013,2624,0.9998363671354398,7913,0.9998412882941412,5589,0.9998499119456484,15546,0.9998564480664142,8833,0.9998604595318904
