Number,W2V_google_0,W2V_google_score0,W2V_google_1,W2V_google_score1,W2V_google_2,W2V_google_score2,W2V_google_3,W2V_google_score3,W2V_google_4,W2V_google_score4
12769,16192,0.9999847979180794,2988,0.9999850660316456,6740,0.9999855250662144,7634,0.9999867628237868,11999,0.9999878309966335
12768,11685,0.9966493056029933,15261,0.9966507609092196,11855,0.9966656014526465,6107,0.9967183109494799,7047,0.9967495214444989
12767,9065,0.9981606949102682,3949,0.9981609521095925,4243,0.9981625407674,10736,0.9981720696438183,11435,0.9981818812919588
12766,4608,0.9994566727165659,11602,0.9994649471839329,6129,0.999468445216017,6565,0.9994717799651278,6055,0.9999460505810113
12765,9873,0.9994796894152629,15105,0.9994853024003307,9382,0.9995130317187598,6004,0.9995224985069181,12289,0.9997302851764234
12764,2132,0.9999860943964554,16835,0.9999877817012621,16521,0.9999880950594595,12495,0.9999899934028716,7204,0.9999961829333565
12763,17138,0.9999900453896954,14946,0.9999913566037301,14268,0.9999915119370626,17065,0.9999944273817584,6172,0.9999970845202913
12762,15153,0.4932488810172839,16665,0.4954789037419259,11551,0.4955332158891151,5407,0.6642770737967646,7908,0.7183151397235126
12761,9324,0.4239314066470782,5017,0.4241393530381889,6353,0.424976035936074,16494,0.4253364292882582,13043,0.9999641452879967
12760,6517,0.9999309317639457,15509,0.9999333190631149,2852,0.9999382123735246,12255,0.999948959058347,15408,0.9999682847544396
12759,3835,0.9996512493124716,3816,0.9997990892151577,3761,0.9998788540412017,2011,0.9998829509097955,2238,0.9999255777179894
12758,14408,0.9989807141180613,14299,0.9990223901337636,16688,0.9990701250063054,13901,0.9990883478863821,14889,0.9999811154426396
12757,17086,0.9999992908461145,4976,0.9999993631335483,14743,0.9999994984823319,15899,0.9999995547572111,11931,0.9999998932697097
12756,15504,0.615487384640214,3858,0.6154942871720969,3772,0.616986692825576,7011,0.9999610800343003,5301,0.9999901133271439
12755,6772,0.9997458350924279,14223,0.9997508649823686,200,0.9997534803288798,4930,0.9997663830691076,14178,0.9997866991056577
12754,8339,0.9999389892554674,10543,0.9999483960216906,10624,0.9999503154124229,16938,0.9999542613386017,1243,0.9999583550079504
12753,15243,0.9997469399922565,12698,0.9997482419996186,7589,0.9997485366445924,5262,0.9997512192563449,2606,0.9997564404527801
12752,1970,0.9999717092359464,3805,0.9999718495204883,1462,0.9999740365962707,554,0.999993691112122,2900,0.9999980793552639
12751,9037,0.9992657471529622,4946,0.9992990920261473,10228,0.999300336152457,16579,0.9997342486522466,14885,0.9998441564474245
12750,4075,0.5064035541812066,10363,0.6446115939474028,4119,0.6450234022441247,12493,0.6456526789226481,9621,0.9994896230563225
12749,7648,0.9999167041000232,3511,0.9999174337681838,4275,0.9999175907672706,2398,0.9999179245406042,1619,0.9999179391080986
12748,15644,0.679411736579988,6167,0.7022073534511906,1714,0.7031862588219888,5687,0.999751803618168,7661,0.9999744031036946
12747,4681,0.5008478750366151,6072,0.5008672538321078,5412,0.5009666774899412,9091,0.5015970834810021,13334,0.5056372825131867
12746,4928,0.999947055697569,1080,0.9999509234023611,6935,0.999955660031568,11853,0.9999708253120951,8846,0.9999916235917573
12745,4559,0.5492199617306337,2682,0.5521216275336077,770,0.9980041266836086,13610,0.9992162067526353,8365,0.9992311313363366
12744,5024,0.9998876179326764,4132,0.99996493882665,5093,0.9999808285444128,11033,0.9999811200748748,661,0.9999917090727983
12743,15848,0.9999744620413564,15165,0.9999759612409667,15134,0.9999782569307839,16259,0.9999917564021046,16072,0.9999997870151144
12742,15775,0.5023912549530709,14582,0.5029814973464914,14032,0.5032037058469414,14873,0.5051924544129055,40,0.9923675505042557
12741,13599,0.639674788089977,6187,0.9953963657865971,3773,0.9974316022701502,12738,0.998130099663816,17143,0.9982159066786372
12740,4685,0.9998498129988903,8673,0.9998537748518077,1621,0.9999901788124426,12245,0.9999970961937134,12277,0.9999980582053456
12739,2485,0.999122195205673,4546,0.9991352277195819,1668,0.9991355332633763,11406,0.9991357639567284,11771,0.9991529748240597
12738,13599,0.642343401916413,6187,0.9969819392739775,12741,0.998130099663816,3773,0.9989278870577099,17143,0.9999223762353495
12737,14834,0.9999784366873709,6217,0.9999789268412302,2016,0.9999791987981611,14418,0.9999796158756763,14192,0.9999823943129447
12736,17150,0.4530858661440359,6412,0.4531813344688062,2273,0.45341425196852797,13414,0.4546596457777121,8632,0.5755210102245313
12735,15746,0.9999998929607264,6234,0.9999999536244681,4147,0.9999999724157972,15943,0.999999986882652,10201,0.9999999902448579
12734,7881,0.993650989339968,11770,0.9937149336160976,10931,0.9937158405928296,6916,0.9937269415027965,1955,0.9939324278237556
12733,7589,0.9997953187744149,12853,0.9997977170024019,5262,0.9997986929583894,2606,0.9998030959895822,15936,0.999966200088038
12732,14813,0.9999403442921775,14620,0.9999662950560165,14028,0.9999724281694325,14269,0.9999783024690235,13614,0.9999967281739067
12731,7761,0.9998674370536753,11636,0.9998686794150141,692,0.9998704823751315,15115,0.9998708605423104,10954,0.9998734212087851
12730,8550,0.9999795265508941,10530,0.9999795552199591,6014,0.9999795888748302,4798,0.9999795888748302,8637,0.9999795898590345
12729,462,0.999987809895619,5110,0.999989378617287,4145,0.9999948411773933,12585,0.9999975804787103,16177,0.999999297711212
12728,14404,0.9978332602019123,13667,0.9978569050774448,14891,0.998054785200388,3731,0.9981218831217682,10002,0.9987999555424852
12727,8272,0.999787371404948,743,0.9997883261558387,13526,0.9997897893985045,1411,0.9998058170830868,11937,0.9999997776580191
12726,13266,0.9999937406937348,6524,0.9999961928609634,3804,0.9999989507733692,12681,0.9999991457828974,1132,0.9999995742209531
12725,9423,0.31327749323408777,11945,0.3161494088284736,16002,0.32080209629514583,3987,0.3216122293280125,4645,0.35302412462214555
12724,4377,0.9999296659354895,2186,0.999930319296702,4935,0.9999310303594193,4011,0.9999312111316236,16915,0.9999313078275734
12723,12910,0.9996840929420769,13264,0.9997309989448748,15332,0.9997973480637687,14133,0.9998622065395709,12673,0.9999675944338097
12722,7486,0.9999222771501004,3570,0.9999400751469129,11580,0.9999418485012553,4957,0.9999465542018711,5355,0.9999475312761403
12721,13154,0.998398059035027,3139,0.9984187875301489,5828,0.9984205346834722,3866,0.9984309044312782,3276,0.9984350080433093
12720,16827,0.9999987707002019,14189,0.9999988399587201,15255,0.9999991020329412,15175,0.9999993477426862,15241,0.9999997436575393
12719,14659,0.9999874241941109,1927,0.9999882720361546,1019,0.9999905913146845,11075,0.9999906863135165,6564,0.9999913978408791
12718,2702,0.9999683556442931,2296,0.9999707956906992,3573,0.9999839953553463,4187,0.9999991501850032,3557,0.999999799902615
12717,9151,0.9989426035258577,10634,0.9989940231351676,10636,0.9990201472114321,11065,0.9990214564811548,3378,0.9990545885987845
12716,12040,0.9999999555947732,13673,0.9999999555951595,13161,0.999999987777336,12038,0.9999999877774175,11305,0.9999999877778633
12715,13346,0.9999999828310535,12264,0.999999982832008,11802,0.9999999829469778,10920,0.9999999999999937,13413,1.0
12714,10927,0.9998681745025932,6618,0.9998728634209667,8144,0.999874213766167,7027,0.9998758670444579,16710,0.9998839442054386
12713,686,0.9999733715369779,17038,0.9999773199933768,16690,0.9999807275036987,15642,0.9999850670095058,15272,0.9999885909790954
12712,10441,0.9999999999999806,11518,0.999999999999982,10415,0.999999999999982,10396,0.9999999999999871,11994,1.0
12711,9074,0.9996196247719358,6994,0.9996250241079527,11906,0.9996476818661171,14977,0.9996523761082288,13885,0.9999317371854659
12710,1676,0.9999465793167511,7548,0.9999559332882072,13821,0.999956149272738,1537,0.999956660208727,1853,0.999957212710166
12709,1174,0.7488160637857343,13324,0.8492547274727471,7473,0.9999611593158734,10646,0.999981561315231,10630,0.9999871421351884
12708,11333,0.4406589030445518,12878,0.4426388289222294,5938,0.4523278879000889,10004,0.45321097071188293,13460,0.996614224223436
12707,5620,0.9997908267636435,11457,0.9997916089380567,14892,0.9997944970537184,7986,0.9997959895716594,14825,0.9997995217596991
12706,9716,0.9996959920054689,15696,0.9996971913501961,10643,0.9996984457228704,5742,0.9997006850367165,16034,0.9997201173217285
12705,1579,0.9999999324506285,14161,0.9999999324544885,6934,0.9999999324565882,5364,0.9999999999999618,6855,0.9999999999999644
12704,9602,0.9892663843097472,4467,0.9893373396277471,14284,0.9893479974834611,933,0.9895598883155923,8346,0.9896336079232045
12703,1701,0.999956696991355,6014,0.999956850397791,4798,0.999956850397791,8637,0.9999568538966966,10530,0.9999568953066597
12702,10274,0.9999424344993203,16544,0.9999432684339649,6955,0.9999975554404384,3751,0.9999993251102652,7924,0.9999999603882399
12701,10429,0.3029744311405129,5374,0.31713497272712055,9990,0.31719853664445563,5819,0.3264509008381715,2026,0.3468271107251517
12700,1323,0.5446493773073616,10568,0.5446863747200255,15981,0.5446922410053407,1569,0.5447127578427633,4684,0.5464289691620227
12699,16922,0.9999911141759457,17055,0.9999922477721015,15585,0.9999923123792854,13817,0.9999964992206799,13917,0.9999995797669183
12698,2606,0.999982122294648,15243,0.9999822314489157,15589,0.9999850187880996,7589,0.9999901403569131,5262,0.99999161046286
12697,11262,0.9985508352340896,7818,0.9985704447693605,11039,0.9986045850683564,13100,0.9986080779292252,11045,0.9986085432950775
12696,162,0.9561150983325488,4107,0.956406077376638,5897,0.9564642177347302,257,0.9577497379400105,119,0.9582988432291589
12695,9829,0.9998809653105752,14436,0.9998854115125143,15455,0.9998899162292415,3587,0.9999042118170125,263,0.9999082391412275
12694,7967,0.999862787194795,15539,0.9999023278009231,1727,0.9999367560360081,14152,0.9999431809793254,16087,0.9999477876610958
12693,5336,0.9980322088353883,4598,0.9980337148798883,10887,0.9980522168582854,4650,0.9980636294276639,13875,0.9980770227555619
12692,5118,0.9999375157073408,1237,0.9999451977277333,2213,0.9999510209522259,13968,0.9999574032222416,1465,0.999957876321519
12691,17044,0.9999367322886841,14376,0.9999423362986714,13159,0.9999424659945545,11952,0.9999453548777438,1463,0.9999455946120672
12690,4122,0.9996060597214718,16159,0.9996127232547161,12241,0.9996183626442986,16543,0.9996240942208462,8045,0.999648893393734
12689,3247,0.9998852788175453,6354,0.999886155547331,4708,0.9998871213362772,14127,0.9998891681888299,7748,0.999889405968729
12688,2834,0.9999815517073388,4699,0.9999840754930407,2271,0.9999859071994921,9131,0.999987217567753,2477,0.9999913111347308
12687,11609,0.9999999739914468,8832,0.999999976281087,11982,0.9999999940148758,12046,0.999999994015044,11180,0.9999999999999993
12686,7123,0.9999990386160758,11886,0.9999993338275371,14616,0.9999995600029771,12057,0.9999996867413725,10150,0.9999998656187118
12685,10353,0.9988763350850238,11812,0.9989642950458114,9715,0.9989938300667678,15690,0.9990012283150593,10255,0.9990290868782139
12684,10886,0.9999812205442273,12204,0.9999935501049735,13676,0.9999978065490446,12256,0.9999982232233795,13278,0.9999997073531003
12683,11764,0.9995957653482055,8744,0.9996001113211015,9577,0.9996034166474025,8436,0.9996049386411622,5825,0.9996096764411605
12682,14433,0.9999095654471972,17028,0.9999098462876409,7903,0.9999101172581788,10221,0.999910784403007,4588,0.9999151073536082
12681,6524,0.9999926531064876,2696,0.9999942551403597,3804,0.9999969964034885,1132,0.9999983020947216,12726,0.9999991457828974
12680,9259,0.9998869462871104,9426,0.9998952455238294,16481,0.999895422095444,16482,0.9998954791697906,14081,0.9999155136888456
12679,15422,0.999969753820418,7715,0.9999704265856825,15904,0.9999896475502794,10159,0.9999931789577593,15445,0.9999979141193929
12678,5537,0.9999723303295903,4011,0.9999724566738716,8440,0.9999729842583543,4935,0.9999734288063442,4377,0.9999736319381788
12677,6738,0.9999214208615298,6444,0.9999750085764543,131,0.9999763141464506,7274,0.9999970170617112,13939,0.9999972833006332
12676,4663,0.9999083773702203,3460,0.9999119846906218,8366,0.9999275429370095,16048,0.9999345607026203,82,0.9999656959956676
12675,15545,0.9998963684149647,8730,0.9999646628204911,1950,0.9999709315494588,13543,0.9999731596694387,1808,0.9999840122419172
12674,2432,0.9999688195745401,8722,0.9999689674487904,15270,0.9999692853998534,1551,0.9999693969699824,12969,0.9999697909297716
12673,12910,0.9998472776454493,13264,0.9998850063833604,15332,0.9999267831609079,14133,0.9999633031489398,12723,0.9999675944338097
12672,9613,0.3965313518951996,9328,0.9978419164737283,8271,0.9997701061391765,7587,0.9999313829028076,12144,0.999949361687503
12671,13794,0.9999021350614176,15487,0.9999113207684881,13590,0.9999407479768772,8795,0.999954709931277,10740,0.999987381231671
12670,17028,0.9998183149439963,10221,0.9998194507331497,15044,0.9998197307387091,4588,0.9998213563459727,5293,0.9998225019811879
12669,8955,0.9999667859748947,11324,0.9999693510595908,3566,0.9999920574329323,12777,0.9999934180047139,7946,0.9999993486532419
12668,9343,0.999917255166053,13803,0.9999185430458846,15409,0.9999203876798393,14719,0.9999260175888552,3216,0.9999782756504988
12667,1925,0.9997496306138819,12798,0.999751208997251,17117,0.9997540628097883,1873,0.9997585732872557,12072,0.9997607572010351
12666,17029,0.47136552463888054,17150,0.47141493848049987,2273,0.47149593530874895,4529,0.4793737978299516,16931,0.47969537851754573
12665,10070,0.998110508055925,13026,0.9983873654309545,16368,0.9984413768422253,5786,0.9984723463727853,11395,0.9990595027646153
12664,14775,0.37869138215298825,11003,0.3875606822159901,14175,0.999791926543057,13510,0.9997944647974999,14989,0.9997955033000725
12663,10581,0.9971576689879301,14554,0.9971581740327476,16669,0.997183033852722,9539,0.9972011599296072,12662,0.9997054750220383
12662,9658,0.9986555085967935,10581,0.9986700524950132,14554,0.9986738167935579,9539,0.9986931575830706,12663,0.9997054750220383
12661,13536,0.9999999262715692,13535,0.9999999262715692,13533,0.9999999262715692,13532,0.9999999262715692,12212,1.0
12660,14816,0.3043405803730089,9186,0.304442384542572,17090,0.32756175303596313,10306,0.33058235447347384,9260,0.35951942512903623
12659,12207,0.9996991638737781,10257,0.9997084615013169,5160,0.9997177053249792,11283,0.9997266422116903,7340,0.9998358510729277
12658,15228,0.999873644387623,14468,0.9998864951490324,15409,0.9998879226790971,10467,0.9999479948691834,9723,0.9999818158166242
