Number,W2V_glove_0,W2V_glove_score0,W2V_glove_1,W2V_glove_score1,W2V_glove_2,W2V_glove_score2,W2V_glove_3,W2V_glove_score3,W2V_glove_4,W2V_glove_score4
17045,8404,0.6116746378422683,13109,0.6124803095760984,5768,0.6157582031027613,14694,0.999936907196474,3033,0.999970934302719
17044,9079,0.9999755506306204,1463,0.9999796340087774,14376,0.9999798626815063,3456,0.9999967046585059,2639,0.999999814498404
17043,17056,0.9999999603047728,17054,0.9999999603047728,17077,0.9999999930713299,17172,0.999999999267686,17042,1.0
17042,17056,0.9999999603047728,17054,0.9999999603047728,17077,0.9999999930713299,17172,0.999999999267686,17043,1.0
17041,10723,0.700405903058955,15557,0.7489189875605037,914,0.9983175202949489,11942,0.9990821620728633,13865,0.9995311258137688
17040,16882,0.9999998892607478,16573,0.9999998892607478,16555,0.9999998892607478,16492,1.0,16407,1.0
17039,16712,0.9999966497543268,16335,0.999998649118024,16330,0.9999990392769259,16397,0.9999998168544828,16820,1.0
17038,15738,0.9999466807585864,16690,0.9999582339290081,12713,0.9999697656157687,15272,0.9999712425959641,15642,0.9999985804514341
17037,15681,0.9999985549472575,14331,0.9999995561524944,16811,0.9999996139737556,15450,0.9999996139737556,15029,0.9999996139737556
17036,17052,0.9999998926149614,15998,0.9999998926149614,16301,0.9999999026697111,16229,0.9999999026697111,16940,1.0
17035,7498,0.9998633549933098,10995,0.9998637244450517,13230,0.9998640402820972,15133,0.9998643299779937,12964,0.9998712273485527
17034,13474,0.5589001568276067,13760,0.5658816502505876,12121,0.9985288107793849,11844,0.9988570392421015,1382,0.9989369870595856
17033,6917,0.5067898025327667,7519,0.530758563945586,8766,0.5309074209911155,15387,0.5309998871884702,12528,0.5313678102525132
17032,2702,0.9999741729918907,13145,0.9999744918633988,2350,0.999975064525971,3291,0.9999751294588812,15632,0.9999752370391278
17031,15175,0.9999995920996066,8291,0.9999996744577406,15255,0.9999997954257416,3608,0.9999999290358187,16827,0.9999999354089149
17030,16935,0.9999998984819315,17170,1.0,16882,1.0,16573,1.0,16555,1.0
17029,13414,0.999471172384133,2273,0.9999557441531106,6412,0.9999729400389072,17016,0.9999953910350979,17150,0.9999994807402002
17028,5293,0.9999924189373728,2708,0.9999944403345016,14433,0.999995523391875,4588,0.9999961417258111,10221,0.9999963000895505
17027,7064,0.9967358194979397,11354,0.9967779213338525,438,0.9981707925348142,850,0.9986809829283274,359,0.9994175695426772
17026,17136,0.9999990352224493,16582,0.9999990352224493,16913,0.9999994370230656,16517,0.9999997402524127,16547,1.0
17025,4826,0.6932895678099963,77,0.9880948059573776,2523,0.9932661648418368,10178,0.999725317371126,16238,0.9999102539739815
17024,4755,0.9999150082590437,11101,0.9999151457815569,9528,0.9999186516883678,5223,0.9999280064939414,8579,0.9999315436599819
17023,8237,0.9975062330317014,2216,0.9975185742698973,3296,0.9975394466133921,4872,0.9975668946419769,8676,0.9976010874562405
17022,17071,0.9999998460370048,17073,0.9999998641101283,17059,0.9999998656890815,17099,0.9999999529903375,17132,0.9999999959620913
17021,9772,0.9999917055148201,1225,0.9999918054722472,14060,0.9999919570089612,15744,0.9999920931539309,8539,0.9999937041148951
17020,16484,0.9991681015970046,14180,0.9991728860559616,3783,0.9991983891988161,5023,0.999378812138259,16853,0.9994757600335357
17019,982,0.9999624730846648,289,0.9999624730846648,11457,0.9999643341381154,2513,0.9999644089113761,3404,0.9999646853504602
17018,17116,0.999999983306544,17119,0.9999999885494736,17059,0.9999999898386642,14070,0.9999999911371144,17133,0.9999999959776229
17017,6399,0.999999393400704,17128,0.9999997177847817,8042,0.9999999508285378,17015,0.9999999728168095,17134,0.9999999843674614
17016,13414,0.9994580056168959,2273,0.9999709854627571,6412,0.9999871012346594,17150,0.999991777775305,17029,0.9999953910350979
17015,6399,0.9999996110926022,17128,0.9999998603454493,8042,0.9999998611212895,17134,0.9999999297184219,17017,0.9999999728168095
17014,9996,0.9999887471679838,16490,0.9999888585893488,11416,0.9999893598496866,5706,0.999989920960537,15956,0.9999903504244122
17013,4798,0.9999913438035123,8637,0.9999913459227949,5736,0.9999914168780336,1701,0.999991693645141,9126,0.9999924015359218
17012,16889,0.9999999817712146,17006,0.999999991452983,16934,0.9999999947461617,16876,0.9999999972764079,16922,0.9999999979050055
17011,8669,0.9998830768267027,13116,0.9999636036542482,17167,0.9999871584773228,9552,0.9999923448356481,16937,0.9999962133222304
17010,1186,0.48641649824510913,8394,0.4879926915822311,13580,0.49608965013640455,12515,0.49694955506850197,2387,0.999723963844213
17009,271,0.9999945510309862,734,0.9999946571460949,8440,0.9999951570061635,4011,0.9999953874785319,14626,0.9999954303021037
17008,17086,0.9999986903339231,16744,0.9999992534855252,15341,0.9999994673835589,13653,0.9999999660914407,15330,0.9999999902508899
17007,15157,0.9999867285219514,16704,0.9999872989552054,15070,0.999987768900427,14724,0.9999921271382627,9291,0.9999924202927277
17006,16889,0.9999999484690202,16922,0.9999999814500657,17012,0.999999991452983,16876,0.9999999983789686,16934,0.9999999996013286
17005,3519,0.9996056442951575,15714,0.999809886268204,10647,0.9998760367899079,9796,0.9999288142768149,9784,0.9999308113708563
17004,8440,0.9999549432319467,3069,0.9999557963856365,271,0.9999567764577733,15209,0.9999567806099301,6520,0.9999581949943036
17003,1100,0.9999993138678953,7790,0.9999994755432079,7983,0.9999998007133457,8977,0.9999998363688958,12780,0.9999998826467752
16984,11936,0.9999176268234246,16307,0.9999204759790237,5054,0.9999245224385743,12060,0.9999251905506211,4852,0.9999266119874103
16983,12250,0.9997516237105617,10720,0.9997524214096501,16417,0.9997550210015255,13063,0.9997587775224515,9925,0.9997720377393985
16946,12998,0.9972973816196391,15867,0.9977385327567889,3329,0.9987915770743987,2591,0.9995342271383616,11169,0.9998406266741997
16945,14946,0.9999841255849248,17065,0.9999848026760301,12763,0.9999862728501877,6172,0.9999873451161945,15521,0.9999999979814489
16944,16011,0.9999997070312123,15909,0.9999997638281217,16000,0.9999998913668563,16864,0.9999999697836807,16012,1.0
